n,accession,symbol,label,reason
1,0000110471-25-000050,WWW,Q,open market weighted average
2,0000314489-25-000094,BUSE,Q,open market weighted average
3,0000712537-25-000054,FCF,Q,open market; restricted-stock note is about holdings
4,0000721994-25-000100,LKFN,Q,open market by spouse
5,0000796343-25-000058,ADBE,Q,open market weighted average
6,0000833079-25-000073,MTH,Q,open market
7,0000842633-25-000029,TRS,Q,own holding company (Trend) controlled by the director; borderline
8,0000935836-25-000074,ZYME,N,institution (EcoR1 Capital LLC) as reporting owner
9,0000947871-25-000120,SION,N,fund purchase in the IPO
10,0000950142-25-000503,CMPO,N,purchase by a private-equity holding vehicle
11,0000950170-25-008021,TKO,N,10b5-1 plan of Endeavor Operating Company (flag not set at submission level)
12,0000950170-25-009100,NONE,N,issuer not traded; round-dollar private purchase
13,0000950170-25-011937,VGAS,N,PIPE by Diamondback Energy (entity)
14,0000950170-25-012348,ASH,Q,open market
15,0000950170-25-019789,NWFL,Q,open market; award notes are about holdings
16,0000950170-25-022582,MRP,Q,open market
17,0000950170-25-026611,HZO,Q,open market
18,0000950170-25-027056,VNDA,Q,open market weighted average
19,0000950170-25-031133,FLYW,Q,open market weighted average
20,0000950170-25-032162,PSN,Q,open market
21,0000950170-25-033562,FTDR,Q,open market via own revocable trust
22,0000950170-25-033880,GLDD,Q,open market
23,0000950170-25-035906,IHRT,Q,open market weighted average
24,0000950170-25-036247,OBDC,Q,open market
25,0000950170-25-036321,SEPN,Q,open market weighted average
26,0000950170-25-037581,BLND,N,institution (Haveli Investments LP) as reporting owner
27,0000950170-25-043902,EU,Q,open market by spouse (CAD converted)
28,0000950170-25-045022,CTGO,Q,open market weighted average
29,0000950170-25-046952,OPK,Q,own trust vehicle of the CEO; borderline
30,0001004980-25-000016,PCG,Q,open market; DRIP note is about RSU holdings
31,0001005229-25-000059,CMCO,Q,open market; restricted-stock note is about holdings
32,0001062993-25-003341,LAMR,Q,open market
33,0001062993-25-003840,OSUR,Q,open market stated
34,0001062993-25-005039,VRME,N,ambiguous: price footnote describes RSU vesting
35,0001062993-25-006599,RLJ,Q,open market
36,0001104659-25-002054,ACXP,N,registered direct offering
37,0001104659-25-016645,PPTA,Q,open market weighted average
38,0001104659-25-021102,N/A,N,issuer not traded; round-dollar purchase
39,0001104659-25-030072,OKLO,Q,open market
40,0001127602-25-004645,NSP,Q,open market
41,0001127602-25-006272,ALLE,Q,open market via family trust
42,0001127602-25-006578,MAIA,N,securities purchase agreement (private)
43,0001127602-25-008327,MAIA,N,securities purchase agreement (private)
44,0001127602-25-009377,BKU,Q,open market weighted average
45,0001140361-25-009366,TROX,Q,open market via own living trust
46,0001171200-25-000026,MGLD,Q,CEO's living trust is the reporting owner
47,0001175107-25-000002,CRGY,Q,open market stated
48,0001200461-25-000009,SUNS,Q,open market direct
49,0001200461-25-000013,SUNS,Q,family foundation the insider presides over; borderline
50,0001213900-25-002157,AMST,N,public offering under an underwriting agreement
51,0001213900-25-010029,N/A,N,issuer not traded; round-dollar purchase
52,0001225208-25-000014,NONE,N,issuer not traded; round-dollar purchase
53,0001225208-25-003626,NCDL,Q,open market (filed 14 months late; acceptance time governs)
54,0001287032-25-000056,PSEC,Q,open market (routine buyer; the routine filter is separate)
55,0001320461-25-000049,CPS,Q,open market
56,0001366868-25-000048,GSAT,Q,own company (Thermo) of the chairman; borderline
57,0001415889-25-001574,VYNE,Q,open market weighted average
58,0001415889-25-000041,SPG,N,dividend reinvestment on restricted stock
59,0001415889-25-002287,TLSI,Q,open market via own trust
60,0001415889-25-002760,ETNB,N,fund purchase (RA Capital)
61,0001415889-25-003351,TECX,N,private placement (Regulation D)
62,0001415889-25-005622,PDFS,Q,open market via own trust
63,0001415889-25-008029,ONTF,N,purchase by a fund (nature: By Fund)
64,0001415889-25-008372,OMCL,Q,open market weighted average
