effective_date,added_ticker,added_name,removed_ticker,removed_name,reason,deletion_discretionary
1976-07-01,DIS,The Walt Disney Company,AYE,Allegheny Energy,"S&P 500 reorganized to have fewer industrials and utilities, and more financial companies to add ""new strength and breadth"".",False
1976-07-01,BUD,Anheuser Busch,HNG,Houston Natural Gas,"S&P 500 reorganized to have fewer industrials and utilities, and more financial companies to add ""new strength and breadth"".",False
1994-09-30,NCC,National City,MCK,McKesson,McKesson sold PCS Health Services to Eli Lilly.,True
1997-06-17,CCR,Countrywide Credit Industries,USL,USLife,AIG acquired USLife.,False
1998-12-11,CCL,Carnival Corporation,GRN,General Re,Berkshire Hathaway acquired General Re.,False
1998-12-11,CPWR,Compuware,SUN,SunAmerica,AIG acquired SunAmerica.,False
1998-12-11,FSR,Firstar,AN,Amoco,BP purchased Amoco.,False
1999-04-12,ACT,Actavis,,,Actavis plc was added to the S&P 500.,False
1999-06-09,WLP,Wellpoint,HPH,Harnischfeger Industries,Harnischfeger filed for bankruptcy.,False
1999-12-08,YHOO,Yahoo!,LDW,Laidlaw,Market capitalization changes.,True
2000-06-07,SBUX,Starbucks,SMS,Shared Medical Systems,Siemens AG acquired Shared Medical Systems.,False
2000-06-12,CVG,Convergys,TMC,Times Mirror,Tribune Co. acquired Times Mirror.,False
2000-07-27,JDSU,JDS Uniphase,RAD,Rite Aid,Market capitalization changes.,True
2000-12-05,SBL,Symbol Technologies,OI,Owens-Illinois,Market capitalization changes.,True
2000-12-05,INTU,Intuit,BS,Bethlehem Steel,Market capitalization changes.,True
2000-12-05,ABK,Ambac Financial,CCK,Crown Holdings,Market capitalization changes.,True
2000-12-05,AYE,Allegheny Energy,GRA,WR Grace,Market capitalization changes.,True
2003-09-25,ESRX,Express Scripts,QTRN,Quintiles Transnational,Acquired.,False
2005-07-01,STZ,Constellation Brands,GLK,Great Lakes Chemical,Great Lakes Chemical was acquired by Crompton Corp.,False
2005-11-18,AMZN,Amazon,T,AT&T Corporation,AT&T Corp. was acquired by SBC Communications,False
2006-06-02,JNPR,Juniper Networks,ABS,Albertsons,Albertsons was acquired by SuperValu and CVS Corp.,False
2007-01-10,AVB,AvalonBay Communities,SBL,Symbol Technologies,Symbol Technologies was acquired by Motorola.,False
2007-03-30,KFT,Kraft Foods,TSG,Sabre Corporation,Sabre was acquired.,False
2007-07-02,DFS,Discover Financial,ADCT,ADC Telecommunications,Discover Financial Services was listed on New York Stock Exchange.,False
2007-08-24,LUK,Leucadia National,KSE,KeySpan,KeySpan was acquired by National Grid plc.,False
2007-09-26,ICE,Intercontinental Exchange,FDC,First Data,FDC was acquired by KKR.,False
2007-09-27,TSO,Tesoro Corporation,MXIM,Maxim Integrated Products,MXIM was delisted from NASDAQ exchange.,False
2007-10-01,TDC,Teradata,NCR,NCR Corporation,NCR Corporation completed the corporate spin-off of Teradata.,False
2007-10-02,EXPE,Expedia,SLR,Solectron,Solectron was acquired by Flextronics.,False
2007-10-26,JEC,Jacobs Engineering Group,AV,Avaya,Avaya was acquired.,False
2007-12-13,GME,GameStop,DJ,Dow Jones,Dow Jones was acquired by News Corporation.,False
2007-12-20,RRC,Range Resources,TRB,Tribune Media,Tribune was acquired.,False
2008-06-10,LO,Lorillard Tobacco Company,ABK,Ambac Financial,Market capitalization changes.,True
2008-06-23,MEE,Massey Energy,OMX,OfficeMax,Market capitalization changes.,True
2008-06-23,COG,Cabot Oil & Gas,BC,Brunswick,Market capitalization changes.,True
2008-07-01,AKS,AK Steel,CFC,Countrywide Financial Corp,Market capitalization changes.,True
2008-09-12,FAST,Fastenal,FNM,Fannie Mae,Market capitalization changes.,True
2008-09-12,CRM,Salesforce,FRE,Freddie Mac,Market capitalization changes.,True
2008-09-16,HRS,Harris Corporation,LEH,Lehman Brothers,Lehman Brothers filed for bankruptcy.,False
2008-12-31,OI,Owens-Illinois,WB,Wachovia Bank,Wachovia Bank was acquired by Wells Fargo.,False
2009-03-03,HRL,Hormel Foods,ACAS,American Capital,Market capitalization changes.,True
2009-03-03,VTR,Ventas,JNY,Jones Apparel Group,Market capitalization changes.,True
2009-06-05,FTI,FMC Technologies,COV,Covidien,"Covidien moved its place of incorporation to Ireland, making it ineligible for inclusion in the index.",True
2009-06-25,,,TEL,TE Connectivity,"Tyco Electronics was removed because it was reincorporating in Switzerland, making it ineligible for inclusion.",True
2009-06-29,PCS,MetroPCS,,,,False
2009-08-19,FMC,FMC Corporation,CTX,Centex Corp.,Centex was acquired by Pulte Homes.,False
2009-09-28,ARG,Airgas,CBE,Cooper Industries,Cooper redomesticated to Ireland.,True
2009-11-03,PCLN,Priceline.com,SGP,Schering-Plough,Schering-Plough was acquired by Merck & Co.,False
2009-12-18,MJN,Mead Johnson Nutrition,DYN,Dynegy,Market capitalization changes.,True
2009-12-18,V,Visa,CIEN,Ciena,Market capitalization changes.,True
2009-12-18,SAI,SAIC,CVG,Convergys,Market capitalization changes.,True
2009-12-18,CLF,Cliffs Natural Resources,KBH,KB Home,Market capitalization changes.,True
2009-12-18,ROST,Ross Stores,MBI,MBIA,Market capitalization changes.,True
2010-02-26,HP,Helmerich & Payne,RX,IMS Health,IMS was acquired by affiliates of TPG Capital,False
2010-04-29,CERN,Cerner,BJS,BJ Services,BJ Services was acquired by Baker Hughes.,False
2010-06-28,KMX,CarMax,XTO,XTO Energy,XTO was acquired by ExxonMobil.,False
2010-06-30,QEP,QEP Resources,STR,Questar,"Company split. QEP retained, but ticker changed.",False
2010-07-14,CB,Chubb,MIL,Millipore,Millipore was acquired by Merck KGaA.,False
2010-08-26,TYC,Tyco International,SII,Smith International,Smith was acquired by Schlumberger.,False
2010-11-17,IR,Ingersoll-Rand,PTV,Pactiv,Reynolds Group Holdings acquired Pactiv.,False
2010-12-17,NFX,Newfield Exploration,NYT,The New York Times Company,Market capitalization changes.,True
2010-12-17,NFLX,Netflix,ODP,Office Depot,Market capitalization changes.,True
2010-12-17,FFIV,F5 Networks,EK,Eastman Kodak,Market capitalization changes.,True
